link_id,abs_key,source,target,wkt,nature,possol
1,TRONROUT0000000252614016,1383,1384,"LINESTRING (945287.4 6437598.2, 945288.2 6437594, 945292.7 6437590.9, 945299.2 6437589, 945314 6437587.4, 945326.6 6437586.7, 945341.8 6437587.4, 945351.4 6437591.4, 945363.9 6437597.8, 945371.9 6437599.2, 945380.3 6437597.9, 945386.6 6437594.6, 945389.5 6437588.6, 945389.7 6437582.2)",Route_a_1_chaussee,0
2,TRONROUT0000000293512384,1385,1386,"LINESTRING (947545.4 6437934.9, 947538.7 6437945.1, 947528.2 6437963.8, 947520 6437977.1)",Chemin,0
3,TRONROUT0000000293512382,1387,1388,"LINESTRING (947029.9 6437804.4, 947028.2 6437797.4, 947025.6 6437793.8, 947020.8 6437792.9, 947011.3 6437792.4, 947002.5 6437791.2)",Sentier,0
4,TRONROUT0000000293512394,1389,1390,"LINESTRING (947397.3 6438072.1, 947390.8 6438082.1, 947387.7 6438092.6, 947389 6438102.2, 947389.3 6438114, 947389.1 6438115.2, 947386.8 6438121.9, 947385.2 6438125.6, 947383.1 6438128.7, 947381.8 6438132.4, 947379.7 6438138.9, 947377.9 6438146.8, 947374.7 6438163.4, 947365.7 6438189, 947359.6 6438202, 947353.5 6438214.2, 947347.9 6438225.6, 947342.4 6438239.1, 947338.4 6438255.1, 947332.2 6438274.8)",Chemin,0
5,TRONROUT0000000293512454,1391,1392,"LINESTRING (947441.5 6439046.6, 947441.2 6439019.7, 947441.6 6439011.1, 947442.7 6438985.2, 947443.1 6438979, 947445.1 6438970.4, 947446.4 6438965.3, 947453.1 6438947.9, 947465.5 6438921.6, 947473.3 6438904.4, 947476 6438897.7, 947476 6438890.1, 947476.5 6438872.5, 947469.1 6438843.7, 947460 6438813.2, 947446.6 6438779.5, 947437.4 6438755.8, 947432.6 6438742.7, 947430.3 6438741.7)",Sentier,0
6,TRONROUT0000000293525021,1393,1394,"LINESTRING (945415.4 6437176.2, 945416.5 6437171.3, 945418.5 6437167.8, 945422.9 6437166.2, 945437.2 6437166.8, 945442.4 6437167.8, 945468 6437184.7)",Route_a_1_chaussee,0
7,TRONROUT0000000293525036,1395,1396,"LINESTRING (945687.1 6438884.2, 945684.4 6438880.8)",Route_a_1_chaussee,0
8,TRONROUT0000000293525037,1397,1398,"LINESTRING (945594.8 6438752.1, 945611.7 6438769.5, 945641.1 6438797.1, 945658.3 6438812.2, 945669.9 6438822, 945683.8 6438830.8, 945709 6438843.5, 945734.2 6438853.6, 945748 6438860.9)",Route_a_1_chaussee,0
9,TRONROUT0000000293525240,1399,1400,"LINESTRING (946001.5 6439012.6, 946009.6 6439009.1, 946026.9 6439000.4, 946052 6438993.3)",Route_a_1_chaussee,0
10,TRONROUT0000000293525250,1401,1402,"LINESTRING (946605.8 6438576.5, 946601.3 6438571.3, 946592.8 6438565.8, 946577.1 6438562.4, 946570.9 6438561.9)",Sentier,0
11,TRONROUT0000000293525268,1403,1404,"LINESTRING (946483.1 6438161, 946485.9 6438163.5, 946488.2 6438171.2, 946491.5 6438182.2, 946493 6438191.6, 946497 6438198.7, 946500.2 6438206, 946505.3 6438213.2, 946507.5 6438222, 946507.7 6438250.5, 946508.5 6438277.5, 946509.4 6438298.9, 946509.5 6438302.8, 946509.5 6438309.8, 946507 6438316.5, 946506.9 6438317)",Sentier,0
12,TRONROUT0000000295064384,1405,1406,"LINESTRING (943631 6425548.5, 943641.5 6425538.3, 943650.9 6425535, 943644 6425532.9, 943637.2 6425532)",Sentier,0
13,TRONROUT0000000295064389,1407,1408,"LINESTRING (943591.8 6425590.4, 943617.5 6425579.6, 943621.5 6425578.5, 943623.6 6425576.1, 943639.2 6425565.8, 943618 6425569)",Sentier,0
14,TRONROUT0000000296096418,1398,1409,"LINESTRING (945748 6438860.9, 945770.4 6438876)",Route_a_1_chaussee,0
15,TRONROUT0000000296096420,1410,1411,"LINESTRING (945905 6439125.1, 945903.7 6439123.6, 945902.8 6439121.8, 945902.2 6439119.9, 945902 6439118, 945902.2 6439116.1, 945902.8 6439114.2, 945903.7 6439112.4, 945905 6439110.9)",Rond-point,0
16,TRONROUT0000000322302337,1412,1413,"LINESTRING (945987.2 6436552.8, 945982.3 6436568.6)",Route_empierree,0
17,TRONROUT0000000330203018,1414,1415,"LINESTRING (945903.2 6436825.7, 945885.4 6436827.9, 945861.4 6436827.6)",Route_a_1_chaussee,0
18,TRONROUT0000000356599865,1416,1417,"LINESTRING (942000.6 6437441.6, 942011.5 6437451.8, 942019.4 6437456.4, 942030.4 6437458.3, 942041.5 6437460.2)",Route_a_1_chaussee,0
19,TRONROUT0000000356599867,1418,1419,"LINESTRING (942739 6437385.8, 942716.2 6437395.5, 942708.4 6437401.4, 942688.7 6437413.1, 942666.4 6437428.6, 942659 6437437.1, 942644.2 6437435.6, 942613.8 6437433.2, 942586.6 6437428.8, 942567.9 6437429.5, 942548.1 6437430.9, 942532.9 6437430.9, 942507.7 6437433.1, 942472.8 6437433, 942440 6437431.2, 942424.8 6437433.7, 942390.8 6437449.5, 942359 6437455, 942313.6 6437462.3, 942252 6437483.4, 942223.1 6437487.9)",Sentier,0
20,TRONROUT0000000356599913,1420,1421,"LINESTRING (944964.3 6436912.3, 944984.5 6436923.3, 945004.9 6436928.6, 945026.2 6436931.8, 945047.2 6436939, 945061.1 6436948.7, 945076.4 6436956.3, 945086.8 6436955.7)",Route_a_1_chaussee,0
21,TRONROUT0000000356599945,1422,1423,"LINESTRING (946548.6 6439446.8, 946547.8 6439436.5, 946546 6439429.2, 946545.2 6439423.5, 946544.4 6439416, 946544.1 6439406.3, 946543.4 6439401.8, 946541.3 6439396.8, 946535.9 6439386.1, 946530.1 6439374.8, 946526.8 6439365.9, 946524.6 6439357.6, 946522.4 6439349)",Sentier,0
22,TRONROUT0000000358026056,1411,1424,"LINESTRING (945905 6439110.9, 945899.4 6439102, 945891.7 6439080.7, 945883.1 6439050, 945880.4 6439032.7)",Route_a_1_chaussee,0
